letter,response
A,
C,
A,target
C,target
C,no target
B,no target
B,no target
E,no target
B,target
B,no target
D,no target
B,target
D,target
B,target
D,target
B,target
F,no target
A,no target
A,no target
A,target
F,no target
B,no target
F,target
C,no target
F,target
F,no target
F,target
E,no target
E,no target
C,no target
E,target
C,target
E,target
C,target
A,no target
A,no target
D,no target
A,target
D,target
A,target
E,no target
D,no target
E,target
D,target
E,target
C,no target
F,no target
C,target
F,target
D,no target
