letter,response
A,
D,
A,target
D,target
D,no target
E,no target
E,no target
E,target
E,target
C,no target
E,target
C,target
E,target
C,target
C,no target
C,target
B,no target
F,no target
D,no target
E,no target
F,no target
C,no target
D,no target
C,target
B,no target
B,no target
B,target
B,target
A,no target
B,target
D,no target
B,target
D,target
A,no target
D,target
A,target
D,target
B,no target
A,no target
A,no target
E,no target
A,target
F,no target
A,target
F,target
C,no target
F,target
F,no target
F,target
F,target
