letter,response
B,
D,
C,no target
D,target
C,target
A,no target
C,target
A,target
A,no target
A,target
A,target
F,no target
D,no target
F,target
C,no target
F,target
C,target
A,no target
D,no target
A,target
D,target
E,no target
B,no target
E,target
B,target
B,no target
B,target
D,no target
E,no target
D,target
C,no target
A,no target
B,no target
C,no target
B,target
C,target
E,no target
F,no target
B,no target
F,target
B,target
E,no target
D,no target
E,target
D,target
E,target
F,no target
E,target
F,target
F,no target
